Brand,Make_Model,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Mercedes-Benz,Mercedes-Benz C Class (EQ Boost),2024-01-17,"€28,457.00",2019,"19,346 miles",Coupe,Automatic,Petrol,Blue Mercedes-Benz C ClassC200 AMG Line 2dr 9G-Tronic 1.5,Carlow
Mercedes-Benz,Mercedes-Benz CLC Class (CLC180K),18/01/2024,"€4,431.00",2009,"94,008 miles",Hatchback,Automatic,Petrol,Silver Mercedes-Benz Clc Class1.8 CLC180 Kompressor Sport 2dr3 previous owners,Mayo
Mercedes-Benz,Mercedes-Benz GLE Class (MHEV),19/01/2024,"€51,846.00",2019,"34,712",SUV,Automatic,Petrol,Black Mercedes-Benz Gle Class3.0 GLE450 EQ Boost AMG Line (Premium Plus) G-Tronic 4MATIC (s/s) 5dr (7 Seat)1 previous owner,Dublin
Mercedes-Benz,Mercedes-Benz CLA Class (AMG Sport),20/01/2024,"€14,266.00",2015,"92,439",Saloon,Automatic,Diesel,Blue Mercedes-Benz Cla Class2.1 CLA220 CDI AMG Sport Coupe 7G-DCT Euro 6 (s/s) 4dr,Cavan
Mercedes-Benz,Mercedes-Benz A Class (SE),20/01/2024,"€11,891.00",2014,"59,514",Hatchback,Manual,Diesel,Black Mercedes-Benz A-Class1.5 A180 CDI ECO SE 5d 109 BHP2 previous owners,Dublin
Mercedes-Benz,Mercedes-Benz E Class (E220d),20/01/2024,"€25,806.00",2018,"26,005",Estate,Automatic,Diesel,Navy Mercedes-Benz E-Class2.0 E 220 D AMG LINE 5d AUTO 192 BHP HEATED SEATS & CRUISE CONTROL2 previous owners,Dublin
Mercedes-Benz,Mercedes-Benz C Class (MHEV),2024-01-21,"€56,108.00",2022,5392,Saloon,Automatic,Petrol Hybrid,Grey Mercedes-Benz C ClassC 200 Sedan 1.5 4dr,Cork
Mercedes-Benz,Mercedes-Benz A Class (Sport),22/01/2024,"€13,603.00",2016,"40,677",Hatchback,Manual,Diesel,Blue Mercedes-Benz A-Class1.5 A 180 D SPORT 5d 107 BHP CRUISE CONTROL & HILL START1 previous owner,Dublin
Mercedes-Benz,Mercedes-Benz A Class (A200),23/01/2024,"€22,256.00",2019,"22,194",Hatchback,Manual,Petrol,Red Mercedes-Benz A ClassA200 AMG Line 5dr 1.3,Dublin
Mercedes-Benz,Mercedes-Benz E Class (AMG Line),23/01/2024,"€29,379.00",2018,"28,252",Coupe,Automatic,Diesel,Black Mercedes-Benz E ClassE220d 4Matic AMG Line Premium 2dr 9G-Tronic 2.0,Mayo
Mercedes-Benz,Mercedes-Benz CLS (Sport),23/01/2024,"€8,620.00",2011,136434,Saloon,Automatic,Diesel,Mercedes-Benz CLS3.0 CLS350 CDI V6 BlueEfficiency Sport Coupe G-Tronic+ Euro 5 4dr,Dublin
Mercedes-Benz,Mercedes-Benz GLE Class (GLE350d V6),24/01/2024,"€38,229.00",2018,"77,299",Coupe,Automatic,Diesel,Red Mercedes-Benz Gle Class3.0 GLE350d V6 AMG Night Edition (Premium Plus) G-Tronic 4MATIC Euro 6 (s/s) 5dr2 previous owners,Dublin
Mercedes-Benz,Mercedes-Benz E Class (E250 CDI),24/01/2024,"€16,968.00",2015,"49,728",Convertible,Automatic,Diesel,Red Mercedes-Benz E ClassE250 CDI AMG Line 2dr 7G-Tronic 2.13 previous owners,Kerry
Mercedes-Benz,Mercedes-Benz E Class (AMG Line),2024-01-26,"€20,478.00",2018,"90,257 miles",Saloon,Automatic,Diesel,Grey Mercedes-Benz E Class2.0 E220d AMG Line Saloon 4dr Diesel G-Tronic+ Euro 6 (s/s) (194 ps)3 previous owners,Tipperary
Mercedes-Benz,Mercedes-Benz E Class (MHEV),26/01/2024,"€58,481.00",2022,"4,828",Convertible,Automatic,Diesel Hybrid,Grey Mercedes-Benz E Class Diesel CabrioletE300d AMG Line Night Ed Premium+ 2dr 9G-Tronic 2.01 previous owner,Meath
Mercedes-Benz,Mercedes-Benz C Class (BlueTEC),26/01/2024,"€15,667.00",2014,"72,031",Saloon,Automatic,Diesel,Black Mercedes-Benz C ClassC250 BlueTEC AMG Line Premium Plus 4dr Auto 2.1,Donegal
Mercedes-Benz,Mercedes-Benz E Class (AMG Line),26/01/2024,"€26,276.00",2019,"58,491",Saloon,Automatic,Diesel,Blue Mercedes-Benz E-Class2.0 E 220 D AMG LINE 4d 192 BHP,Cork
Mercedes-Benz,Mercedes-Benz E Class (E220 CDI),27/01/2024,"€9,486.00",2014,"88,490",Saloon,Automatic,Diesel,Black Mercedes-Benz E Class2.1 E220 CDI SE Saloon 4dr Diesel G-Tronic+ Euro 5 (s/s) (170 ps)2 previous owners,Wexford
Volkswagen,Volkswagen Golf (GTI),2024-01-02,"€8,193.00",2010,"109,038",Hatchback,Automatic,Petrol,Navy Volkswagen Golf2.0 TSI GTI DSG Euro 5 5dr6 previous owners,Dublin
Volkswagen,Volkswagen Polo (Match),02/01/2024,"€15,317.00",2020,"23,397 miles",Hatchback,Manual,Petrol,"Navy Volkswagen Polo1.0 TSI 95 MATCH 5d 94 BHP \xa31,755 Upgraded Extras, 6.5in Touchscreen Display, Apple CarPlay, Android Auto, MirrorLink, DAB / Bluetooth / USB, Front /1 previous owner",Dublin
Volkswagen,Volkswagen Golf (SE),03/01/2024,"€9,193.00",2014,"62,329",Hatchback,Manual,Diesel,Black Volkswagen GolfSE TDI BLUEMOTION TECHNOLOGY 1.6 5dr3 previous owners,Wexford
Volkswagen,Volkswagen Tiguan (TDI),05/01/2024,"€9,849.00",2015,"79,695",SUV,Manual,Diesel,Blue Volkswagen Tiguan2.0 TDI BlueMotion Tech Match 4WD Euro 5 (s/s) 5dr,Longford
Volkswagen,Volkswagen Passat (Highline),06/01/2024,"€3,086.00",2009,"105,044",Saloon,Manual,Diesel,Volkswagen Passat2.0 TDI Highline Euro 5 4dr3 previous owners,Cork
Volkswagen,Volkswagen Scirocco (R-Line),07/01/2024,"€16,381.00",2017,"46,777",Hatchback,Automatic,Diesel,"Navy Volkswagen Scirocco2.0 R LINE TDI BLUEMOTION TECHNOLOGY DSG 2d 148 BHP **F/S/H**\xa320 ROAD TAX**19""ALLOYS**2 previous owners",Dublin
Volkswagen,Volkswagen T-Cross (TSI EVO),07/01/2024,"€27,176.00",2020,"6,902",SUV,Automatic,Petrol,Blue Volkswagen T-Cross1.5 TSI (150ps) R-Line EVO DSG 5dr2 previous owners,Mayo
Volkswagen,Volkswagen Golf (TSI),08/01/2024,"€11,444.00",2012,"26,136",Hatchback,Automatic,Petrol,Silver Volkswagen Golf1.4 TSI Match DSG Euro 5 5dr,Galway
Volkswagen,Volkswagen Polo (EVO),2024-01-12,"€18,183.00",2021,"2,892",Hatchback,Manual,Petrol,Blue Volkswagen PoloMK6 Hatchback 5Dr 1.0 80PS Match EVO,Kildare
Volkswagen,Volkswagen Golf (SE Nav),12/01/2024,"€17,413.00",2018,"24,086",Hatchback,Manual,Petrol,Blue Volkswagen GolfVolkswagen Golf 1.5 TSI EVO 130 SE Nav 5dr1 previous owner,Sligo
Volkswagen,Volkswagen Scirocco (TDI),14/01/2024,"€6,372.00",2012,"132,281 miles",Hatchback,Manual,Diesel,"Grey Volkswagen Scirocco2.0 TDI BlueMotion Tech R-Line Euro 5 (s/s) 3dr (Leather, Nav)2 previous owners",Meath
Volkswagen,Volkswagen Polo (beats),18/01/2024,"€15,662.00",2020,"25,041 miles",Hatchback,Manual,Petrol,Blue Volkswagen Polo Hatchback1.0 TSI 95 Beats 5dr1 previous owner,Kilkenny
Volkswagen,Volkswagen Golf (TSI EVO),21/01/2024,"€19,906.00",2020,"19,731",Hatchback,Manual,Petrol,Volkswagen Golf1.5 TSI EVO Match Edition 5dr,Dublin
Volkswagen,Volkswagen Golf (Match Edition),22/01/2024,"€22,366.00",2020,19921,Estate,Automatic,Petrol,Navy Volkswagen Golf1.5 TSI EVO 150 Match Edition 5dr DSG,Dublin
